Case #1
7
2 back
3 right
5 right
6 back
7 top
9 left
12 front

Case #2
4
1 right
3 top
5 right
6 front

Case #3
4
2 bottom
6 back
7 back
8 right

Case #4
5
4 right
5 bottom
6 right
7 left
8 front

Case #5
7
2 right
3 right
4 bottom
7 back
8 top
9 bottom
12 front

Case #6
47
1 bottom
2 front
4 top
5 top
6 back
9 bottom
12 top
17 bottom
18 right
19 left
20 left
22 bottom
25 top
26 left
27 left
28 front
32 top
33 right
38 bottom
39 top
41 top
46 back
48 top
49 left
52 left
53 bottom
55 left
57 top
58 front
61 back
64 top
65 top
68 right
69 bottom
71 left
72 front
73 back
77 front
78 back
81 right
82 back
85 back
91 left
92 front
96 bottom
99 right
100 right

Case #7
17
1 left
4 left
5 right
7 top
9 left
10 front
12 top
13 left
14 front
17 front
19 back
21 back
23 top
25 top
28 back
29 bottom
30 left

Case #8
12
2 bottom
3 top
5 top
6 front
11 top
15 front
16 right
17 bottom
19 back
23 left
26 back
27 right

Case #9
4
3 top
5 back
6 right
7 right

Case #10
2
2 back
3 bottom

Case #11
2
1 top
2 right

Case #12
22
1 back
5 left
6 back
7 front
10 top
12 right
14 left
16 left
20 left
22 left
23 back
25 back
26 back
28 back
29 right
30 left
31 left
34 back
36 front
38 bottom
40 top
41 front

Case #13
11
1 front
3 back
4 left
6 top
7 bottom
9 back
16 back
17 left
19 back
22 back
23 right

Case #14
5
1 back
4 top
5 back
9 right
10 right

Case #15
4
1 front
3 bottom
5 right
7 left

Case #16
3
3 front
4 left
6 right

Case #17
3
1 front
2 bottom
3 back

Case #18
7
1 top
4 bottom
5 top
6 top
8 top
10 top
12 bottom

Case #19
3
1 bottom
2 front
4 front

Case #20
1
2 back

Case #21
230
2 back
3 right
5 right
6 left
8 top
11 left
13 right
15 top
16 top
19 back
21 top
24 right
25 top
27 right
28 left
37 top
38 bottom
42 top
43 front
47 bottom
48 bottom
49 front
51 top
52 top
53 back
56 bottom
59 top
64 bottom
65 right
66 left
67 left
69 bottom
72 top
73 left
74 left
75 front
79 top
80 right
85 bottom
86 top
88 top
93 back
95 top
96 left
99 left
100 bottom
102 left
104 top
105 front
108 back
111 top
112 top
115 right
116 bottom
118 left
119 front
120 back
124 front
125 back
128 right
129 back
132 back
138 left
139 front
143 bottom
145 right
148 left
151 left
152 right
154 top
156 left
157 front
159 top
160 left
161 front
164 front
166 back
168 back
170 top
172 top
175 back
176 bottom
177 left
180 bottom
181 top
183 top
184 front
189 top
193 front
194 right
195 bottom
198 right
200 left
202 left
204 bottom
208 top
210 back
211 right
212 right
213 front
215 top
217 back
220 back
224 left
226 bottom
227 bottom
228 bottom
229 bottom
235 back
237 right
240 left
242 right
244 back
245 back
246 right
247 left
248 left
251 back
253 front
257 back
259 front
261 back
262 left
264 top
265 bottom
267 back
274 back
275 left
277 back
280 back
283 left
285 right
288 front
289 front
291 left
294 back
299 front
300 bottom
301 left
304 front
308 back
309 front
310 right
312 bottom
315 left
317 top
319 top
321 bottom
323 front
326 top
332 back
333 left
334 left
335 bottom
339 left
340 back
346 back
347 bottom
348 back
349 top
350 front
353 top
358 left
363 left
364 right
366 front
368 front
369 front
370 back
371 top
373 front
375 left
376 front
377 top
381 back
384 top
385 bottom
387 front
389 right
391 bottom
392 top
393 right
395 top
396 bottom
399 top
400 top
403 bottom
404 back
406 right
408 bottom
410 top
411 top
414 bottom
416 front
419 left
422 back
424 left
429 top
431 back
433 left
434 left
436 right
438 bottom
440 top
443 bottom
446 left
447 right
448 top
450 left
451 left
452 left
455 bottom
456 left
460 back
461 front
466 left
469 bottom
473 bottom
475 top
476 right
477 left
478 bottom
481 back
485 back
486 right
490 front
493 top
494 top
498 front
500 right

