7 20
1 2 30
1 3 99
1 4 37
4 5 68
4 6 90
2 7 47
3 2 72
7 3 87
7 4 24
1 5 30
1 6 70
6 2 44
6 3 96
2 5 35
1 7 73
4 3 8
7 6 35
5 3 1
5 7 96
5 6 88
1 5 102
29 41
1 2 74
2 3 19
2 4 23
3 5 4
1 6 9
6 7 80
2 8 76
8 9 10
4 10 84
10 11 56
6 12 72
5 13 77
9 14 85
12 15 62
12 16 45
6 17 46
7 18 43
2 19 76
4 20 91
20 21 28
9 22 39
6 23 9
21 24 98
1 25 86
18 26 98
7 27 14
17 28 29
25 29 70
8 11 26
16 9 79
8 6 96
26 12 23
23 11 30
5 19 13
13 6 5
3 20 33
7 20 98
15 22 23
23 1 46
4 8 83
2 15 11
19 11 66
6 15
1 2 77
1 3 16
1 4 44
4 5 38
4 6 1
5 3 58
3 4 87
5 2 48
4 2 46
3 6 28
1 5 63
2 6 36
5 6 44
6 1 69
2 3 69
1 3 121
15 15
1 2 57
2 3 91
2 4 49
2 5 60
3 6 23
6 7 59
2 8 51
3 9 14
1 10 44
4 11 76
8 12 29
11 13 54
6 14 90
9 15 79
10 6 33
7 9 183
5 10
1 2 18
2 3 61
3 4 8
2 5 91
1 4 74
3 1 88
5 1 58
5 4 98
5 3 44
4 2 57
5 4 140
27 44
1 2 79
2 3 91
2 4 46
3 5 95
3 6 8
2 7 30
3 8 35
1 9 61
1 10 43
7 11 40
4 12 78
3 13 5
10 14 52
7 15 31
11 16 1
11 17 100
12 18 4
3 19 15
17 20 48
16 21 55
4 22 8
6 23 73
19 24 68
22 25 87
1 26 58
12 27 58
26 5 30
20 3 61
7 26 14
6 25 28
24 16 88
9 24 30
11 26 83
10 17 92
14 1 79
13 21 9
5 12 21
19 12 60
11 19 3
20 13 93
17 9 38
9 20 70
11 20 48
4 1 15
16 10 227
14 15
1 2 95
1 3 52
3 4 3
4 5 9
1 6 64
1 7 64
2 8 91
5 9 28
5 10 35
8 11 80
1 12 97
4 13 64
4 14 10
9 3 45
1 10 94
1 14 184
10 22
1 2 72
1 3 14
3 4 80
4 5 63
2 6 16
6 7 57
6 8 76
7 9 4
1 10 4
3 2 21
1 9 66
9 2 88
10 5 53
3 8 49
1 4 57
7 1 13
9 4 17
5 1 60
9 10 44
8 10 28
3 9 50
2 10 82
7 10 230
7 21
1 2 70
1 3 63
2 4 37
1 5 87
3 6 6
5 7 45
4 6 38
2 6 42
3 2 34
1 7 56
5 6 76
5 3 8
6 1 76
3 4 97
4 7 1
4 5 45
2 5 4
7 6 49
3 7 83
7 2 90
1 4 9
5 4 177
13 31
1 2 15
2 3 73
3 4 19
1 5 95
4 6 81
5 7 72
1 8 10
1 9 43
4 10 55
10 11 68
1 12 77
6 13 81
3 7 47
11 3 97
3 13 69
6 12 52
12 8 84
13 7 20
7 12 25
2 10 53
12 2 92
11 6 3
4 11 59
6 10 6
4 9 63
9 13 44
10 12 96
2 4 75
10 9 72
5 8 1
2 8 84
3 11 196
22 36
1 2 29
1 3 18
1 4 91
2 5 47
5 6 34
1 7 21
1 8 96
8 9 1
3 10 74
4 11 50
11 12 15
10 13 21
1 14 40
13 15 100
5 16 19
12 17 11
10 18 88
12 19 8
12 20 40
5 21 92
2 22 55
16 19 8
13 1 33
17 7 56
14 7 77
18 22 32
20 1 51
6 9 50
22 6 57
5 1 10
7 18 65
9 22 49
1 6 56
14 10 84
8 7 93
2 4 31
17 8 56
2 1
1 2 11
1 2 215
17 25
1 2 8
1 3 29
3 4 28
3 5 74
3 6 68
1 7 98
2 8 90
1 9 52
8 10 58
1 11 28
1 12 40
4 13 16
5 14 94
4 15 75
5 16 59
2 17 87
12 7 51
1 6 71
10 4 5
9 5 57
10 6 74
1 10 7
17 4 87
12 11 98
10 3 63
17 5 255
21 27
1 2 99
2 3 65
3 4 65
1 5 63
4 6 31
1 7 46
6 8 47
5 9 13
6 10 51
6 11 44
6 12 77
9 13 72
1 14 3
11 15 88
8 16 6
16 17 12
6 18 89
7 19 35
4 20 39
1 21 77
18 12 49
7 12 14
19 15 55
8 15 83
2 12 84
21 7 71
9 15 100
9 20 137
25 27
1 2 45
2 3 12
1 4 94
3 5 100
1 6 67
3 7 56
7 8 75
7 9 73
3 10 45
10 11 58
9 12 57
6 13 50
10 14 1
10 15 63
8 16 94
2 17 94
10 18 72
5 19 63
15 20 73
19 21 59
4 22 50
8 23 13
6 24 80
8 25 59
18 24 55
10 6 96
24 7 28
24 25 9
31 35
1 2 78
2 3 13
1 4 16
1 5 88
1 6 89
2 7 92
7 8 38
2 9 43
3 10 18
3 11 42
4 12 5
9 13 61
3 14 27
6 15 63
4 16 8
1 17 96
13 18 7
14 19 86
1 20 31
12 21 38
15 22 78
9 23 91
1 24 31
12 25 52
18 26 34
22 27 61
27 28 95
13 29 51
10 30 60
29 31 20
13 3 56
15 17 41
12 23 18
22 17 95
21 2 61
12 3 4
31 47
1 2 4
1 3 27
1 4 34
1 5 71
3 6 41
4 7 12
7 8 9
7 9 33
4 10 11
9 11 40
5 12 21
4 13 75
5 14 37
4 15 42
7 16 47
3 17 81
12 18 53
7 19 1
17 20 35
15 21 31
3 22 65
12 23 84
19 24 12
23 25 8
24 26 2
22 27 3
3 28 70
10 29 13
22 30 12
9 31 50
25 20 9
29 2 61
27 6 48
10 14 76
7 20 50
10 31 52
8 3 28
19 31 92
22 19 50
15 7 10
10 8 70
21 18 52
14 21 51
27 3 23
14 15 55
13 24 89
14 24 68
27 11 214
19 23
1 2 9
1 3 74
3 4 82
4 5 85
2 6 98
1 7 94
3 8 53
5 9 23
8 10 30
10 11 39
4 12 17
12 13 57
12 14 7
6 15 4
13 16 89
1 17 38
17 18 12
17 19 49
3 2 33
6 9 26
19 4 62
8 9 92
12 6 21
6 17 169
19 22
1 2 52
2 3 77
2 4 45
4 5 88
3 6 29
4 7 53
6 8 21
5 9 92
1 10 62
3 11 20
9 12 22
3 13 66
5 14 54
11 15 49
11 16 66
13 17 54
15 18 58
18 19 60
4 3 61
5 11 13
4 1 97
9 18 10
14 16 157
6 15
1 2 98
2 3 68
1 4 50
3 5 53
5 6 23
6 2 81
6 1 28
2 5 14
5 4 72
3 6 56
4 2 5
4 6 46
3 1 84
4 3 40
1 5 70
4 2 175
11 14
1 2 83
2 3 18
1 4 91
3 5 32
4 6 88
6 7 53
3 8 42
3 9 97
3 10 1
4 11 65
6 8 76
2 10 97
11 7 27
7 5 96
4 3 80
25 25
1 2 87
2 3 85
3 4 15
1 5 23
4 6 2
5 7 81
7 8 76
5 9 13
8 10 82
7 11 97
11 12 24
9 13 15
5 14 56
12 15 75
10 16 62
12 17 7
9 18 85
15 19 74
9 20 93
14 21 67
4 22 99
10 23 83
14 24 89
10 25 70
16 7 58
21 8 124
6 15
1 2 85
2 3 79
2 4 93
2 5 46
4 6 27
5 6 14
3 1 64
5 1 89
6 1 11
5 4 40
3 6 55
1 4 96
4 3 54
2 6 47
3 5 9
3 4 219
27 45
1 2 13
2 3 14
3 4 87
1 5 97
3 6 62
4 7 52
6 8 17
1 9 35
4 10 6
3 11 8
4 12 36
2 13 51
1 14 43
11 15 38
8 16 66
10 17 3
9 18 39
1 19 87
6 20 37
10 21 53
1 22 71
7 23 57
1 24 58
23 25 91
23 26 91
6 27 88
26 17 48
12 25 37
2 22 31
25 10 21
7 2 98
16 27 50
22 4 54
25 9 88
19 21 78
18 4 55
5 9 54
16 6 90
18 16 72
4 14 93
26 15 90
14 3 91
9 6 44
1 7 38
1 25 54
11 4 21
18 37
1 2 5
2 3 82
1 4 10
1 5 82
4 6 97
2 7 11
6 8 72
8 9 29
8 10 12
3 11 63
9 12 30
9 13 20
10 14 49
13 15 8
4 16 86
7 17 79
1 18 1
12 8 64
6 16 13
12 17 61
18 5 56
9 3 73
2 10 98
18 3 36
4 11 78
17 5 49
17 16 2
3 4 91
12 18 51
12 2 58
1 7 27
7 10 4
6 11 39
10 3 68
6 7 16
4 2 70
6 3 60
18 2 154
26 34
1 2 71
1 3 99
1 4 2
4 5 62
2 6 51
3 7 11
3 8 88
5 9 65
4 10 68
5 11 60
7 12 24
11 13 4
7 14 49
2 15 6
11 16 76
10 17 36
7 18 23
9 19 95
10 20 89
19 21 32
13 22 18
9 23 43
8 24 94
5 25 73
7 26 93
12 1 65
21 20 92
9 1 42
14 5 64
16 26 34
5 12 24
26 21 66
19 15 24
1 17 16
2 10 20
26 39
1 2 69
2 3 42
3 4 74
2 5 1
2 6 76
3 7 80
4 8 8
3 9 54
4 10 37
4 11 98
7 12 30
6 13 30
10 14 83
8 15 90
11 16 80
1 17 31
6 18 27
14 19 8
6 20 58
13 21 86
17 22 29
12 23 96
14 24 29
17 25 18
16 26 15
24 7 26
20 26 60
1 22 18
26 10 100
8 20 72
3 17 82
16 9 66
22 21 61
17 21 62
23 10 76
5 19 71
4 14 88
26 22 94
11 17 29
6 20 186
17 36
1 2 51
2 3 7
2 4 74
3 5 10
2 6 95
5 7 48
1 8 58
7 9 73
6 10 45
3 11 10
7 12 84
12 13 78
10 14 31
8 15 91
8 16 96
2 17 16
17 1 46
14 9 55
7 4 6
14 6 51
10 9 99
12 17 82
11 15 21
7 1 12
12 4 81
2 9 7
2 8 58
11 13 95
6 9 86
9 5 35
12 5 93
1 15 8
1 6 92
17 13 52
12 11 66
4 3 89
17 2 79
25 39
1 2 9
1 3 8
3 4 86
3 5 39
5 6 2
2 7 82
7 8 31
2 9 22
6 10 2
3 11 58
7 12 48
8 13 71
7 14 76
4 15 49
5 16 33
9 17 83
15 18 87
12 19 97
18 20 36
17 21 46
16 22 82
10 23 60
17 24 88
9 25 73
6 14 94
10 13 16
13 22 74
17 23 59
24 22 3
16 8 100
1 6 87
15 1 68
24 6 83
7 20 55
20 11 37
8 6 47
6 21 36
3 19 52
24 4 3
8 7 99
17 29
1 2 70
2 3 15
1 4 63
1 5 10
1 6 67
5 7 99
1 8 38
8 9 32
7 10 86
1 11 27
3 12 97
5 13 24
4 14 82
6 15 59
14 16 20
2 17 54
5 9 67
4 16 33
14 10 11
16 9 42
11 6 45
8 13 94
15 1 46
16 10 4
5 11 73
13 17 97
12 11 61
12 16 75
11 10 77
16 3 39
7 21
1 2 74
2 3 26
3 4 86
1 5 67
3 6 21
2 7 7
6 2 40
